"","","","","","","","","","","","","","","","","","","","習慣化","楽しく勉強","兄弟姉妹","ベビークモン","先生に感謝","本が好き","プリント","計算力UP","やっててよかった","自主的","やる気","友だち","集中力UP","TOEFL","自信がつく","試験に役立つ","自分のペース","基礎力","無料体験学習","リスニング","英検","スポーツと両立","読解力","歌が好きに","仕事に役立つ","考える力","コミュニケーション","留学","音読","E-pencil","医師","ネイティブ","理系大学","志望校合格","暗算","経営者（経営学）","就職"
"639","-","１歳の子の成長を、みなで喜んでいます。磁石盤、同じ絵のところにおけるようになって大喜び！","/assets/images/photo_cp/data_2nd/modalB_041.jpg","/assets/images/photo_cp/data_2nd/thumbB_041.jpg","-","ろく さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"640","-","お兄ちゃんが公文に通う姿をみて、始めたいと、兄弟揃って頑張るように。毎日の勉強にくじけそうになっても、時には助け合いながら前進しています！","/assets/images/photo_cp/data_2nd/modalB_042.jpg","/assets/images/photo_cp/data_2nd/thumbB_042.jpg","-","マミィ さん","-","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"641","-","なんとか鉛筆を持てるようになり、ぐちゃぐちゃに書き始めた１歳の娘。これからの成長を楽しみにしています。","/assets/images/photo_cp/data_2nd/modalB_043.jpg","/assets/images/photo_cp/data_2nd/thumbB_043.jpg","-","なこ さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"642","-","小学生になりました。幼稚園より忙しいけど、くもんは頑張ってます","/assets/images/photo_cp/data_2nd/modalB_044.jpg","/assets/images/photo_cp/data_2nd/thumbB_044.jpg","-","りん さん","-","","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"643","-","大好きな絵本をパパに読んでもらうのが日課！何度も何度もたくさん読んでもらうね。時には5冊や6冊も！でも楽しいもんね！","/assets/images/photo_cp/data_2nd/modalB_045.jpg","/assets/images/photo_cp/data_2nd/thumbB_045.jpg","-","ノンノンカイカイ さん","-","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644","-","私も公文経験者。我が子にも、公文をさせたくて、だんだん開始年齢が早くなり３人目にはベビモから開始。絵本大好き、すうじ盤大好き。","/assets/images/photo_cp/data_2nd/modalB_046.jpg","/assets/images/photo_cp/data_2nd/thumbB_046.jpg","-","とわまま さん","-","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"645","-","リズムに合わせて楽しく聞けるね！これからもがんばって！！","/assets/images/photo_cp/data_2nd/modalB_047.jpg","/assets/images/photo_cp/data_2nd/thumbB_047.jpg","-","じんべい さん","-","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","",""
"646","-","くもんがきっかけになって、いろんな事を体験しています。カードのスイカと、実物のスイカを、真剣な顔で見比べていました！毎月のBaby Kumonがたのしみだね♪","/assets/images/photo_cp/data_2nd/modalB_049.jpg","/assets/images/photo_cp/data_2nd/thumbB_049.jpg","-","いまこ さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647","-","本を読んでもどっかにいってしまいひらがなに全く興味なかったのに、公文に通い始めて、街の看板も気になってしょうがない！学ぶって楽しいね！","/assets/images/photo_cp/data_2nd/modalB_050.jpg","/assets/images/photo_cp/data_2nd/thumbB_050.jpg","-","こうちゃんママ さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648","-","年中さんから公文を初めて早2ヶ月！気づいたら自分からお勉強しています！ママは嬉しいです！！","/assets/images/photo_cp/data_2nd/modalB_051.jpg","/assets/images/photo_cp/data_2nd/thumbB_051.jpg","-","まおまお さん","-","","〇","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"649","-","サッカーに習字にKUMON!!忙しい毎日ですが、KUMONをはじめてから集中力がUPし、とても価値ある日々を送っています♪これからも、自分なりの学習目標を立てて、しっかりと実行してほしいです！！一緒にガンバっていこうね☆","/assets/images/photo_cp/data_2nd/modalB_053.jpg","/assets/images/photo_cp/data_2nd/thumbB_053.jpg","-","まっぴーママ さん","-","","","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","",""
"650","-","Baby Kumonをはじめて早１年。アドバンスト教材に突入しました。書くことにも興味を持ち始め、日々の成長を感じる毎日です。","/assets/images/photo_cp/data_2nd/modalB_054.jpg","/assets/images/photo_cp/data_2nd/thumbB_054.jpg","-","ハルハル さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651","-","Baby Kumonの「やりとりぶっく」をいつも持ち歩いています。大好きです。","/assets/images/photo_cp/data_2nd/modalB_055.jpg","/assets/images/photo_cp/data_2nd/thumbB_055.jpg","-","くく さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652","-","お姉ちゃんが公文をしていると、一緒に勉強したがる1歳の妹ちゃん！2人で並んで勉強する日が楽しみだね","/assets/images/photo_cp/data_2nd/modalB_056.jpg","/assets/images/photo_cp/data_2nd/thumbB_056.jpg","-","よぴこ さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"653","-","出先に必ず持っていく、やりとりぶっく！！ちょっとした時間にパパに読んでもらうのが大好きっ。読み聞かせの影響か、、最近少しずつ指差して文字を言えるようになってきました！！旦那と日々の成長を喜びながら読み聞かせ1万回目指します^ - ^","/assets/images/photo_cp/data_2nd/modalB_057.jpg","/assets/images/photo_cp/data_2nd/thumbB_057.jpg","-","ママも実は元公文生 さん","-","〇","","","","","","","〇","","","","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"654","-","公文を始めてから学習習慣がつきました！遊びの前は「宿題してから」と自分でスケジュールを立ててくれるので嬉しい限りです。","/assets/images/photo_cp/data_2nd/modalB_058.jpg","/assets/images/photo_cp/data_2nd/thumbB_058.jpg","-","うー さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"655","-","Baby Kumon楽しいね。たくさん読み聞かせしてあげたいから、ゆっくり大きくなってね。","/assets/images/photo_cp/data_2nd/modalB_059.jpg","/assets/images/photo_cp/data_2nd/thumbB_059.jpg","-","みかりんこ さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"656","-","兄と妹、一緒にくもんできて、ほほえましいです。おにいちゃんを見て、妹は成長しています。妹を見て、おにいちゃんはさらにがんばります。","/assets/images/photo_cp/data_2nd/modalB_060.jpg","/assets/images/photo_cp/data_2nd/thumbB_060.jpg","-","さん さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"657","-","３歳11カ月から始めたお兄ちゃんと３歳２カ月から始めた妹です。学力の貯金で選択肢の豊富な人生を歩んでください。日々のくもんは時に挫折しそうになるけれど、きっと君たちの力になると信じています。","/assets/images/photo_cp/data_2nd/modalB_061.jpg","/assets/images/photo_cp/data_2nd/thumbB_061.jpg","-","H＆M の母 さん","-","〇","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"658","-","５才から５年間公文を勉強しています。楽しく勉強をするときもあれば、解きたくない～と言う時もありました。小学校1年生になったとき「やってて良かった」と言った時の顔が忘れられません！これからも頑張ってね(^ー^)。","/assets/images/photo_cp/data_2nd/modalB_062.jpg","/assets/images/photo_cp/data_2nd/thumbB_062.jpg","-","moka さん","-","","","〇","","〇","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"659","-","毎日公文で習ったことを口に出して教えてくれます☆","/assets/images/photo_cp/data_2nd/modalB_063.jpg","/assets/images/photo_cp/data_2nd/thumbB_063.jpg","-","steiff さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"660","-","お兄ちゃん先生、頼りになるね&#9825;","/assets/images/photo_cp/data_2nd/modalB_064.jpg","/assets/images/photo_cp/data_2nd/thumbB_064.jpg","-","いくもん さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"661","-","３歳の頃から行きたい!!と言っていた娘(5)。念願の公文へ通えることになり、とても喜んで通っています。終わると「あー面白かったぁ」と笑顔で満足気。宿題も難しいし地道な作業で飽きちゃうこともあるけど、頑張って続けてます。","/assets/images/photo_cp/data_2nd/modalB_065.jpg","/assets/images/photo_cp/data_2nd/thumbB_065.jpg","-","はなしゅうママ さん","-","","〇","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"662","-","キャラクターのくろくま君が大好きです。楽しくクモン続けてね♪","/assets/images/photo_cp/data_2nd/modalB_066.jpg","/assets/images/photo_cp/data_2nd/thumbB_066.jpg","-","マサまき さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"663","-","毎日かかさず30枚する息子。継続は力なり！","/assets/images/photo_cp/data_2nd/modalB_067.jpg","/assets/images/photo_cp/data_2nd/thumbB_067.jpg","-","なっち さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"664","-","お腹の中にいるときから読み聞かせていた本。今でも1番大好きな本です。「まだかな、まだかな〜」と言うと笑顔で本のところに来ます。絵本が大好きです。","/assets/images/photo_cp/data_2nd/modalB_068.jpg","/assets/images/photo_cp/data_2nd/thumbB_068.jpg","-","しょうママ さん","-","〇","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"665","-","くもんを始めたばかり。風邪をひいて保育園をおやすみした日も、机にむかいました(ママはびっくり！)","/assets/images/photo_cp/data_2nd/modalB_070.jpg","/assets/images/photo_cp/data_2nd/thumbB_070.jpg","-","りーママ さん","-","","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"666","-","朝早くに起きて取り組むようにしている公文。遊びと勉強と時間を上手に使っています。これからも、頑張ってね！","/assets/images/photo_cp/data_2nd/modalB_071.jpg","/assets/images/photo_cp/data_2nd/thumbB_071.jpg","-","i318 さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667","-","遊んで、食べて、そしてくもん！くもんも生活の一部になっているね。小さな手で、毎日がんばる杏ちゃん、ほんとにすごいね。ママはいつも応援しているよ☆","/assets/images/photo_cp/data_2nd/modalB_072.jpg","/assets/images/photo_cp/data_2nd/thumbB_072.jpg","-","りー さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668","-","2人仲良く、英語教材を楽しんでいる姿を見たら、日常の中に自然と公文がある事に気がつきました。これからも、公文を通じて仲良く頑張ろうね。","/assets/images/photo_cp/data_2nd/modalB_073.jpg","/assets/images/photo_cp/data_2nd/thumbB_073.jpg","-","なかじ さん","-","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669","-","一年前、こんな感じで始まり、今日も公文行って頑張ってるね‼","/assets/images/photo_cp/data_2nd/modalB_074.jpg","/assets/images/photo_cp/data_2nd/thumbB_074.jpg","-","こほみママ さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"670","-","夫婦共に、KUMONで育ち、学習が好きになった事もあり、娘にも、KUMONで、学校、学習が好きになって欲しいと思い、幼稚園から始めています。小3になった今でも、楽しく学習しているので、良かったです♥️","/assets/images/photo_cp/data_2nd/modalB_075.jpg","/assets/images/photo_cp/data_2nd/thumbB_075.jpg","-","KUMON大好き紅葉 さん","-","","","〇","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"671","-","パパと宿題、クレヨン食べないで～(笑)二人でお絵かき想像力豊かにたくさん書いてね(^^)","/assets/images/photo_cp/data_2nd/modalB_076.jpg","/assets/images/photo_cp/data_2nd/thumbB_076.jpg","-","JunJun さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672","-","できた！の笑顔、最高です。夕方、ねむいけどよくがんばったね。","/assets/images/photo_cp/data_2nd/modalB_077.jpg","/assets/images/photo_cp/data_2nd/thumbB_077.jpg","-","ゆう さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673","-","くもんを始めてまだ2カ月、いつも自分から積極的に教材に向かっています。これからも楽しんで勉強して欲しいです。","/assets/images/photo_cp/data_2nd/modalB_078.jpg","/assets/images/photo_cp/data_2nd/thumbB_078.jpg","-","なっちゃん さん","-","","","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"674","-","病院でも頑張って宿題出来たね。","/assets/images/photo_cp/data_2nd/modalB_079.jpg","/assets/images/photo_cp/data_2nd/thumbB_079.jpg","-","マミ さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675","-","Baby Kumonのやりとりぶっく・うたぶっくが大好きで、自分で本棚から取り出して遊んでいます。本好きの子になってくれるといいな！","/assets/images/photo_cp/data_2nd/modalB_080.jpg","/assets/images/photo_cp/data_2nd/thumbB_080.jpg","-","さりー さん","-","〇","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676","-","Baby Kumonから約２年半続けて、只今算数の勉強中。すうじ盤を使って１～１０まで並べたり、声に出して数えられるようになりました。……が、なぜか９はいつもひっくり返る……。安定の９です(笑)","/assets/images/photo_cp/data_2nd/modalB_081.jpg","/assets/images/photo_cp/data_2nd/thumbB_081.jpg","-","しまママ さん","-","","〇","","","","","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"677","-","半年前は力弱い筆圧だったのに、今は力強い字が書けるようになりました。毎日の積み重ねが力になってるんだね♫これからもコツコツ頑張ろうね！","/assets/images/photo_cp/data_2nd/modalB_082.jpg","/assets/images/photo_cp/data_2nd/thumbB_082.jpg","-","くもんがんばるもんもん さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678","-","ときどき…電池が切れちゃいます。でもこのあと、起きてちゃんとプリントやりました(≧∇≦)","/assets/images/photo_cp/data_2nd/modalB_083.jpg","/assets/images/photo_cp/data_2nd/thumbB_083.jpg","-","みはすず母さん さん","-","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"679","-","雨が降っても、公文大好きです","/assets/images/photo_cp/data_2nd/modalB_085.jpg","/assets/images/photo_cp/data_2nd/thumbB_085.jpg","-","たっくん♪ さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"680","-","朝の日差しを背中に浴びて、くもんに取り組むのが日課。気分が乗らなくてなかなか始められない時もあるけど、公文の国語に出てくる問題は面白い物語ばかりだから、やり始めると夢中になって最後まで一気にやり終えてしまう！目標は「KUMON Jフレンズ」の特製キーホルダー！これからも沢山の物語に出会うのが楽しみです。","/assets/images/photo_cp/data_2nd/modalB_086.jpg","/assets/images/photo_cp/data_2nd/thumbB_086.jpg","-","のこころ さん","-","","","","","","","","","","","〇","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"681","-","4歳から約2年、はりきってやる日、泣きながら頑張る日、毎日毎日コツコツと積み重ねてきました。今日も今から公文に行ってきます！！","/assets/images/photo_cp/data_2nd/modalB_087.jpg","/assets/images/photo_cp/data_2nd/thumbB_087.jpg","-","しんのすけ さん","-","","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"682","-","手作りの宿題ホルダー♪これで毎日忘れずに宿題頑張ってます！！","/assets/images/photo_cp/data_2nd/modalB_089.jpg","/assets/images/photo_cp/data_2nd/thumbB_089.jpg","-","イッセイ さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"683","-","４年生になりますが、100点を取って帰ってきた時は、100点だったよー！と子供らしい笑顔。最近大人っぽい表情を見せる娘の嬉しい瞬間です。","/assets/images/photo_cp/data_2nd/modalB_090.jpg","/assets/images/photo_cp/data_2nd/thumbB_090.jpg","-","みすりん さん","-","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"684","-","絵本を見せると自分からハイハイをして来てくれます！寝る前に、『まだかな、まだかな』を読むとおやすみモードになりすんなり寝てくれます。これかも、たくさんいろんな事を体験していこうねー！","/assets/images/photo_cp/data_2nd/modalB_091.jpg","/assets/images/photo_cp/data_2nd/thumbB_091.jpg","-","みさ吉♡ さん","-","〇","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"685","-","親戚の結婚式に向かう新幹線の中で。公文の教材は、新幹線のテーブルで出来るサイズに作られていると教えてくれたのは、公文の先生である、ばぁばです。","/assets/images/photo_cp/data_2nd/modalB_092.jpg","/assets/images/photo_cp/data_2nd/thumbB_092.jpg","-","あき さん","-","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"686","-","2歳から3教科始めました。今は4歳。こんなにプリントをやっていたことに驚きました。2歳の頃は教室で寝ちゃってお迎えに行く日も何度も。今では体力も集中力もつき、毎回最後まで頑張っています。","/assets/images/photo_cp/data_2nd/modalB_093.jpg","/assets/images/photo_cp/data_2nd/thumbB_093.jpg","-","かおち さん","-","","〇","","","","","","","","","","","","","〇","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","",""
"687","-","好奇心旺盛のお兄ちゃんとお兄ちゃんの真似をしたがる妹。くもんはまだ始めたばかりですが、兄妹がよいライバルとなり、時にはお兄ちゃんが妹の先生になって仲良くプリントをやっているところをみるととてもほほえましく、やっててよかったと思います。いつかこどもたちもやっててよかった！と思えるくらいがんばってもらえたらと思います。","/assets/images/photo_cp/data_2nd/modalB_094.jpg","/assets/images/photo_cp/data_2nd/thumbB_094.jpg","-","さとんこ さん","-","","","","","","","","","","","","","","〇","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"688","-","宿題の公文は嫌いだけど、教室は大好きです。息子は今日もノリノリです♪","/assets/images/photo_cp/data_2nd/modalB_095.jpg","/assets/images/photo_cp/data_2nd/thumbB_095.jpg","-","がっくんママ さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"689","-","テキストからプリントになって、ますますヤル気upの娘です！家族みんなも英語を聞く機会が増えて良かったです♪","/assets/images/photo_cp/data_2nd/modalB_096.jpg","/assets/images/photo_cp/data_2nd/thumbB_096.jpg","-","さえ さん","-","","","","","","","","","","〇","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"690","-","宿題をする時、耳に鉛筆をかけてするのが日課!!4ヶ月間通い、親子で頑張ってきました。テストで合格してご褒美楽しみにしている娘&#9825;やる気も湧いて日々の努力が身についてます。繰り返しやることで英単語、短い文が読める程に!!何回もやることが大事、タッチペンで聞くことも大事！とわかりました。C教材も一緒に頑張ろうね！","/assets/images/photo_cp/data_2nd/modalB_097.jpg","/assets/images/photo_cp/data_2nd/thumbB_097.jpg","-","みつ☆こう さん","-","","","","","","","","","","","","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"691","-","くもんを始めて半年が経ちました。くもんに通ってから、書く力が付き、筆圧も強くなりました。これからも、どんどん学習して欲しいと思います。","/assets/images/photo_cp/data_2nd/modalB_098.jpg","/assets/images/photo_cp/data_2nd/thumbB_098.jpg","-","まるこめ さん","-","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"692","-","公文に入会したのが２才10ヶ月でした。親子で泣いた日、喜んだ日、笑った日。1666グラムで産まれてきた息子の夢はドクター。今では当たり前のように勉強は生活の日課になってます。これからも頑張って夢に向かって楽しく生活していこうね！！","/assets/images/photo_cp/data_2nd/modalB_099.jpg","/assets/images/photo_cp/data_2nd/thumbB_099.jpg","-","ムウのママ さん","-","","","","","","","","","","","","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"693","-","小学2年生になって、とてもスムーズに宿題を終わらせるコトが出来る様になってきたね。これからもその調子で！","/assets/images/photo_cp/data_2nd/modalB_100.jpg","/assets/images/photo_cp/data_2nd/thumbB_100.jpg","-","けとまま さん","-","","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"694","-","優しい先生に会えるのが楽しみで、頑張ってます!!おうちでも、ママと一緒に頑張ろうね!!ファイト!!","/assets/images/photo_cp/data_2nd/modalB_101.jpg","/assets/images/photo_cp/data_2nd/thumbB_101.jpg","-","JO さん","-","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"695","-","４歳の息子は、公文へ行くまで、鉛筆を握ることも、線をまともに書くことさえできませんでしたが、公文へ行きはじめ、急成長。今では、数字や平仮名を簡単に書けるようになりました。","/assets/images/photo_cp/data_2nd/modalB_102.jpg","/assets/images/photo_cp/data_2nd/thumbB_102.jpg","-","よったん さん","-","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"696","-","大好きなお友達が公文に通っていて、自分も行きたい!!と言い出し、冬から公文を始めました。日に日に難しいプリントになり大変そうな時も多々ありますが、嬉しそうに楽しそうに通っています。最近は、教室にあるすいせん図書を借りて来て、寝る前に夢中になって読んでいます。","/assets/images/photo_cp/data_2nd/modalB_103.jpg","/assets/images/photo_cp/data_2nd/thumbB_103.jpg","-","もこのり さん","-","","","","","","","","","","","","","〇","","","","","〇","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","",""
"697","-","お姉ちゃんと一緒にくもんに行きたくて年少さんから通っています。","/assets/images/photo_cp/data_2nd/modalB_104.jpg","/assets/images/photo_cp/data_2nd/thumbB_104.jpg","-","れい さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"698","-","通って一年！自分から宿題をするようになりました！すごーい(*ˊᗜˋ*) ﾉ","/assets/images/photo_cp/data_2nd/modalB_105.jpg","/assets/images/photo_cp/data_2nd/thumbB_105.jpg","-","たいがママ さん","-","","","","","","","","","","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699","-","二年生になるまでに国語でトロフィーをもらう、と先生に宣言。本人、親、先生とタッグを組んで取り組んでいます。がんばろうね。","/assets/images/photo_cp/data_2nd/modalB_106.jpg","/assets/images/photo_cp/data_2nd/thumbB_106.jpg","-","オカコ さん","-","","","〇","","","","","","","","〇","","","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"700","-","公文の英語を続けてきて、生まれて初めて英検に挑戦。見事５級に合格！本人も、自信をもつことができたようです。次は４級を目指してもっと公文で頑張る！と意気込んでます。","/assets/images/photo_cp/data_2nd/modalB_107.jpg","/assets/images/photo_cp/data_2nd/thumbB_107.jpg","-","こゆき さん","-","","","","","","","","","","〇","","","","","","","","","","","","","","","","〇","","","","","","〇","","","","","","","","","","","","","","","",""
"701","-","最近 毎日 宿題をやるようになりました。少しずつ 分かるようになってきて 嬉しいようです。","/assets/images/photo_cp/data_2nd/modalB_109.jpg","/assets/images/photo_cp/data_2nd/thumbB_109.jpg","-","なっち さん","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"702","-","小3、小1、年中の3人の子供達は、公文で大きく成長しました。これからも公文と共にもっともっと成長していこうね。お父さんもお母さんも、スクスク育つ貴方達がとても楽しみです！！","/assets/images/photo_cp/data_2nd/modalB_110.jpg","/assets/images/photo_cp/data_2nd/thumbB_110.jpg","-","めがねママ さん","-","","〇","〇","〇","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"703","-","おばあちゃんが、公文の先生です。子供達は、幼稚園から公文生。難しくてくじけそうになっても、ばぁば先生が優しく教えてくれます。ところが、子供達は、甘えたり、だだをこねたりも。忍耐強く、時に厳しく、そして愛情たっぷり温かく教えてくれるばぁば先生、ありがとう！今では、つまずくことがあっても、粘り強く頑張る子達に成長しました。現在小6と小4の姉妹。教材がタワーになる程、続けています。","/assets/images/photo_cp/data_2nd/modalB_111.jpg","/assets/images/photo_cp/data_2nd/thumbB_111.jpg","-","あき さん","-","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"704","-","英語を頑張ってアメリカに行くんだ〜！と頼もしいことを言ってくれます(^-^)/これからも諦めずに頑張ろうね！","/assets/images/photo_cp/data_2nd/modalB_112.jpg","/assets/images/photo_cp/data_2nd/thumbB_112.jpg","-","こうま さん","-","","","","","","","","","","〇","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"705","-","まだ2歳になったばかりですが、鉛筆の持ち方について先生に相談したところ、クリップをつけると良いとアドバイス頂きました。幼児だからといって甘やかさず、悩みをちゃんと聞いて解決してくれます。週二回は子供よりも親の私が楽しみにしていたり（笑）娘へ。これからも頑張れ！！","/assets/images/photo_cp/data_2nd/modalB_113.jpg","/assets/images/photo_cp/data_2nd/thumbB_113.jpg","-","すぬく さん","-","〇","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"706","-","くもんが大好き","/assets/images/photo_cp/data_2nd/modalB_114.jpg","/assets/images/photo_cp/data_2nd/thumbB_114.jpg","-","宮川友莉奈 さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"707","-","お兄ちゃん、いつも教えてくれてありがとー！","/assets/images/photo_cp/data_2nd/modalB_115.jpg","/assets/images/photo_cp/data_2nd/thumbB_115.jpg","-","reona さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"708","-","公文を始めて２か月。「今日は公文の日だね」ってとっても楽しそう。がんばれちび天使。","/assets/images/photo_cp/data_2nd/modalB_116.jpg","/assets/images/photo_cp/data_2nd/thumbB_116.jpg","-","古都の姫 さん","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"709","-","二人とも三歳からの公文学習。今は妹も加わり二人での公文タイムになりました！お兄ちゃんは、もぅ子供の頃のママがやっていた教材を越えちゃうね","/assets/images/photo_cp/data_2nd/modalB_117.jpg","/assets/images/photo_cp/data_2nd/thumbB_117.jpg","-","りくひま さん","-","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
